fecha_utc,us_numero,us_titulo,estado_anterior,estado_nuevo,tiempo_en_estado_anterior,tiempo_en_estado_anterior_segundos,url
2026-09-23T17:31:19.317741+00:00,54,US 079. Comprar arrojable,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/54
2026-09-23T17:31:19.317741+00:00,55,US 080. Comprar escudo/blindaje,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/55
2026-09-23T17:31:19.317741+00:00,58,US 054. Mostrar escudo,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/58
2026-09-23T17:31:19.317741+00:00,61,US 055. Mostrar inventario,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/61
2026-09-23T17:31:19.317741+00:00,63,US 065. Asignación de equipamientos,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/63
2026-09-23T17:31:19.317741+00:00,64,US 066. Visualización del inventario,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/64
2026-09-23T17:31:19.317741+00:00,67,US 017. Recarga de habilidad,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/67
2026-09-23T17:31:19.317741+00:00,68,US 018.  Aplicar efecto de habilidad,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/68
2026-09-23T17:31:19.317741+00:00,69,US 019. Habilidad 1,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/69
2026-09-23T17:31:19.317741+00:00,70,US 020. Habilidad 2,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/70
2026-09-23T17:31:19.317741+00:00,71,US 021. Habilidad 3,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/71
2026-09-23T17:31:19.317741+00:00,72,US 022. Habilidad 4,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/72
2026-09-23T17:31:19.317741+00:00,74,US 024.  Gestionar escudo,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/74
2026-09-23T17:31:19.317741+00:00,80,US 032. Iniciar partida táctica,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/80
2026-09-23T17:31:19.317741+00:00,81,US 033. Gestionar objetivo y resultado de la partida,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/81
2026-09-23T17:31:19.317741+00:00,83,US 034. Finalizar partida,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/83
2026-09-23T17:31:19.317741+00:00,86,US 037. Atacar jugador,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/86
2026-09-23T17:31:19.317741+00:00,87,US 038. Recibir daño,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/87
2026-09-23T17:31:19.317741+00:00,88,US 039. Morir NPC,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/88
2026-09-23T17:31:19.317741+00:00,90,US 067. ARMA Principal 2 - Subfusil,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/90
2026-09-23T17:31:19.317741+00:00,91,US 068. ARMA Principal 3 - Francotirador,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/91
2026-09-23T17:31:19.317741+00:00,92,US 069. ARMA Principal 4 - Fusil de rafaga,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/92
2026-09-23T17:31:19.317741+00:00,95,US 041. Detectar cumplimiento de logros,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/95
2026-09-23T17:31:19.317741+00:00,96,US 042. Desbloquear logro,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/96
2026-09-23T17:31:19.317741+00:00,97,US 043. Notificar logro desbloqueado,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/97
2026-09-23T17:31:19.317741+00:00,98,US 044.  Consultar logros,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/98
2026-09-23T17:31:19.317741+00:00,99,US 045. Guardar progreso de logros,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/99
2026-09-23T17:31:19.317741+00:00,105,US 051. Menu de pausa,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/105
2026-09-23T17:31:19.317741+00:00,101,US 047.  Seleccionar modo de juego,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/101
2026-09-23T17:31:19.317741+00:00,102,US 048.  Configurar opciones,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/102
2026-09-23T17:31:19.317741+00:00,111,US 060. Recoger objeto de curación,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/111
2026-09-23T17:31:19.317741+00:00,112,US 061. Utilizar objeto de curación,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/112
2026-09-23T17:31:19.317741+00:00,113,US 012. Ataque cuerpo a cuerpo,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/113
2026-09-23T17:31:19.317741+00:00,114,US 071. ARMA Secundaria 1 - Pistola,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/114
2026-09-23T17:31:19.317741+00:00,115,US 072. ARMA Secundaria 2 - Pistola pesada,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/115
2026-09-23T17:31:19.317741+00:00,119,US 062. ARMA Melee,Todo,LPR,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/119
2026-09-23T17:31:19.317741+00:00,120,US 085. Créditos,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/120
2026-09-23T17:31:19.317741+00:00,155,US 099. Agregar sonido - Reaparición,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/155
2026-09-23T17:31:19.317741+00:00,156,US 098. Agregar sonido - Salto,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/156
2026-09-23T17:31:19.317741+00:00,161,US 097. Agregar sonido - Pasos,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/161
2026-09-23T17:31:19.317741+00:00,140,US 114. Agregar sonido - Cambio de equipamiento,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/140
2026-09-23T17:31:19.317741+00:00,135,US 103. Agregar sonido - Habilidad 4,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/135
2026-09-23T17:31:19.317741+00:00,157,US 101. Agregar sonido - Habilidad 2,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/157
2026-09-23T17:31:19.317741+00:00,158,US 100. Agregar sonido - Habilidad 1,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/158
2026-09-23T17:31:19.317741+00:00,137,US 105. Agregar sonido - Escudo dañado,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/137
2026-09-23T17:31:19.317741+00:00,138,US 104. Agregar sonido - Daño y muerte,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/138
2026-09-23T17:31:19.317741+00:00,132,US 106. Agregar sonido - Modo Táctico,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/132
2026-09-23T17:31:19.317741+00:00,141,US 117. Agregar sonido - Tienda,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/141
2026-09-23T17:31:19.317741+00:00,142,US 116. Agregar sonido - Objeto de curación,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/142
2026-09-23T17:31:19.317741+00:00,145,US 113. Agregar sonido - Menú de pausa,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/145
2026-09-23T17:31:19.317741+00:00,146,US 112. Agregar sonido - Menú principal,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/146
2026-09-23T17:31:19.317741+00:00,139,US 115. Agregar sonido - Logro desbloqueado,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/139
2026-09-23T17:31:19.317741+00:00,147,US 091. Agregar sonido - Pistola,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/147
2026-09-23T17:31:19.317741+00:00,148,US 090. Agregar sonido - Escopeta,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/148
2026-09-23T17:31:19.317741+00:00,149,US 093. Agregar sonido - Granada metralla,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/149
2026-09-23T17:31:19.317741+00:00,150,US 092. Agregar sonido - Pistola pesada,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/150
2026-09-23T17:31:19.317741+00:00,151,US 087. Agregar sonido - Subfusil,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/151
2026-09-23T17:31:19.317741+00:00,152,US 086. Agregar sonido - Fusil,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/152
2026-09-23T17:31:19.317741+00:00,153,US 089. Agregar sonido - Fusil de ráfaga,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/153
2026-09-23T17:31:19.317741+00:00,154,US 088. Agregar sonido - Francotirador,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/154
2026-09-23T17:31:19.317741+00:00,159,US 095. Agregar sonido - Granada flash,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/159
2026-09-23T17:31:19.317741+00:00,160,US 094. Agregar sonido - Granada de humo,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/160
2026-09-23T17:31:19.317741+00:00,162,US 096. Agregar sonido - Ataque cuerpo a cuerpo,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/162
2026-09-23T17:31:19.317741+00:00,133,US 109. Agregar sonido - Mapa 1,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/133
2026-09-23T17:31:19.317741+00:00,143,US 111. Agregar sonido - Mapa 3,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/143
2026-09-23T17:31:19.317741+00:00,144,US 110. Agregar sonido - Mapa 2,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/144
2026-09-23T18:30:59.355703+00:00,74,US 024.  Gestionar escudo,Blocked,In Progress,59m,3580,https://github.com/DogeGGss/lcs-tp-principal/issues/74
2026-09-23T21:43:18.249968+00:00,33,US 001. Caminar,TESTING,R2D,4h 11m,15118,https://github.com/DogeGGss/lcs-tp-principal/issues/33
2026-09-23T21:43:18.249968+00:00,35,US 002. Correr,LPR,R2D,12h 8m,43726,https://github.com/DogeGGss/lcs-tp-principal/issues/35
2026-09-23T21:43:18.249968+00:00,40,US 005. Cámara,LPR,R2D,22h 18m,80337,https://github.com/DogeGGss/lcs-tp-principal/issues/40
2026-09-23T21:43:18.249968+00:00,36,US 003. Saltar,LPR,R2D,22h 18m,80337,https://github.com/DogeGGss/lcs-tp-principal/issues/36
2026-09-23T21:43:18.249968+00:00,59,US 007. Gravedad,LPR,R2D,22h 18m,80337,https://github.com/DogeGGss/lcs-tp-principal/issues/59
2026-09-23T21:43:18.249968+00:00,57,US 053. Mostrar vida,LPR,R2D,12h 8m,43726,https://github.com/DogeGGss/lcs-tp-principal/issues/57
2026-09-23T21:43:18.249968+00:00,73,US 023. Gestionar vida,LPR,R2D,17h,61226,https://github.com/DogeGGss/lcs-tp-principal/issues/73
2026-09-23T21:43:18.249968+00:00,60,US 008. Colisiones con el escenario,LPR,R2D,22h 18m,80337,https://github.com/DogeGGss/lcs-tp-principal/issues/60
2026-09-23T21:43:18.249968+00:00,74,US 024.  Gestionar escudo,In Progress,LPR,3h 12m,11538,https://github.com/DogeGGss/lcs-tp-principal/issues/74
2026-09-23T23:37:18.736664+00:00,35,US 002. Correr,R2D,Done,1h 54m,6840,https://github.com/DogeGGss/lcs-tp-principal/issues/35
2026-09-23T23:37:18.736664+00:00,36,US 003. Saltar,R2D,Done,1h 54m,6840,https://github.com/DogeGGss/lcs-tp-principal/issues/36
2026-09-23T23:37:18.736664+00:00,59,US 007. Gravedad,R2D,Done,1h 54m,6840,https://github.com/DogeGGss/lcs-tp-principal/issues/59
2026-09-23T23:37:18.736664+00:00,57,US 053. Mostrar vida,R2D,In Progress,1h 54m,6840,https://github.com/DogeGGss/lcs-tp-principal/issues/57
2026-09-23T23:37:18.736664+00:00,73,US 023. Gestionar vida,R2D,In Progress,1h 54m,6840,https://github.com/DogeGGss/lcs-tp-principal/issues/73
2026-09-23T23:37:18.736664+00:00,60,US 008. Colisiones con el escenario,R2D,Done,1h 54m,6840,https://github.com/DogeGGss/lcs-tp-principal/issues/60
2026-09-23T23:37:18.736664+00:00,38,US 004. Agacharse,Blocked,In Progress,6h 5m,21959,https://github.com/DogeGGss/lcs-tp-principal/issues/38
2026-09-23T23:37:18.736664+00:00,56,US 006. Reaparición,Blocked,Todo,1d 12m,87177,https://github.com/DogeGGss/lcs-tp-principal/issues/56
2026-09-23T23:37:18.736664+00:00,74,US 024.  Gestionar escudo,LPR,In Progress,1h 54m,6840,https://github.com/DogeGGss/lcs-tp-principal/issues/74
2026-09-23T23:37:18.736664+00:00,100,US 046. Menú principal,Todo,In Progress,1d 12m,87177,https://github.com/DogeGGss/lcs-tp-principal/issues/100
2026-09-23T23:37:18.736664+00:00,101,US 047.  Seleccionar modo de juego,Blocked,In Progress,6h 5m,21959,https://github.com/DogeGGss/lcs-tp-principal/issues/101
2026-09-23T23:37:18.736664+00:00,119,US 062. ARMA Melee,LPR,In Progress,6h 5m,21959,https://github.com/DogeGGss/lcs-tp-principal/issues/119
2026-09-23T23:37:18.736664+00:00,156,US 098. Agregar sonido - Salto,Blocked,Todo,6h 5m,21959,https://github.com/DogeGGss/lcs-tp-principal/issues/156
2026-09-23T23:37:18.736664+00:00,138,US 104. Agregar sonido - Daño y muerte,Blocked,Todo,6h 5m,21959,https://github.com/DogeGGss/lcs-tp-principal/issues/138
2026-09-23T23:59:45.485296+00:00,33,US 001. Caminar,R2D,Done,2h 16m,8187,https://github.com/DogeGGss/lcs-tp-principal/issues/33
2026-09-23T23:59:45.485296+00:00,40,US 005. Cámara,R2D,Done,2h 16m,8187,https://github.com/DogeGGss/lcs-tp-principal/issues/40
2026-09-23T23:59:45.485296+00:00,57,US 053. Mostrar vida,In Progress,Done,22m,1346,https://github.com/DogeGGss/lcs-tp-principal/issues/57
2026-09-23T23:59:45.485296+00:00,73,US 023. Gestionar vida,In Progress,Done,22m,1346,https://github.com/DogeGGss/lcs-tp-principal/issues/73
2026-09-23T23:59:45.485296+00:00,39,US 009. Apuntar,Blocked,Todo,1d 35m,88524,https://github.com/DogeGGss/lcs-tp-principal/issues/39
2026-09-23T23:59:45.485296+00:00,74,US 024.  Gestionar escudo,In Progress,LPR,22m,1346,https://github.com/DogeGGss/lcs-tp-principal/issues/74
2026-09-23T23:59:45.485296+00:00,119,US 062. ARMA Melee,In Progress,LPR,22m,1346,https://github.com/DogeGGss/lcs-tp-principal/issues/119
2026-09-23T23:59:45.485296+00:00,161,US 097. Agregar sonido - Pasos,Blocked,Todo,6h 28m,23306,https://github.com/DogeGGss/lcs-tp-principal/issues/161
2026-09-24T04:34:06.147452+00:00,38,US 004. Agacharse,In Progress,Done,4h 56m,17807,https://github.com/DogeGGss/lcs-tp-principal/issues/38
2026-09-24T04:34:06.147452+00:00,114,US 071. ARMA Secundaria 1 - Pistola,Blocked,In Progress,11h 2m,39766,https://github.com/DogeGGss/lcs-tp-principal/issues/114
2026-09-24T09:30:11.676561+00:00,41,US 010. Disparar,Blocked,LPR,1d 10h 5m,122750,https://github.com/DogeGGss/lcs-tp-principal/issues/41
2026-09-24T09:30:11.676561+00:00,114,US 071. ARMA Secundaria 1 - Pistola,In Progress,LPR,4h 56m,17765,https://github.com/DogeGGss/lcs-tp-principal/issues/114
2026-09-24T18:30:55.317716+00:00,113,US 012. Ataque cuerpo a cuerpo,Blocked,LPR,1d 59m,89975,https://github.com/DogeGGss/lcs-tp-principal/issues/113
2026-09-24T18:30:55.317716+00:00,174,US 124. Integrar animación - Caminar,In Progress,LPR,13h 56m,50209,https://github.com/DogeGGss/lcs-tp-principal/issues/174
2026-09-24T18:30:55.317716+00:00,173,US 123. Integrar animación - Reposo,In Progress,LPR,13h 56m,50209,https://github.com/DogeGGss/lcs-tp-principal/issues/173
